Dates,PX_TO_BOOK_RATIO,EQY_DVD_YLD_12M,EARN_YLD,CASH_FLOW_YIELD,PX_TO_SALES_RATIO,PX_CLOSE_1D,BASIC_EPS_3YR_AVG_GROWTH,SALES_3YR_AVG_GROWTH,EPS_GROWTH,OPER_INC_TO_NET_SALES,EBIT_TO_NET_SALES,5_YEAR_AVERAGE_ADJUSTED_ROE,CUR_MKT_CAP,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
2016/12/19,2.6412,3.9676,8.2656,24.0764,1.3908,6083,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,133779.6413,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/20,2.6862,3.9013,8.1274,24.0764,1.4144,6175,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,136054.4368,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/21,2.6442,3.9631,8.2562,24.0764,1.3924,6280,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,133931.2943,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/22,2.6276,3.9883,8.3086,24.0764,1.3836,6182,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,133086.3703,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/23,2.6117,4.0124,8.359,24.0764,1.3753,6143,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,132284.7757,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/26,2.6117,4.0124,8.359,24.0764,1.3753,6143,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,132284.7757,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/27,2.6117,4.0124,8.359,24.0764,1.3753,6143,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,132284.7757,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/28,2.6947,3.8889,8.1016,24.0764,1.419,6106,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,136487.7312,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/29,2.7542,3.8049,7.9267,24.0764,1.4503,6300,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,139499.1272,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2016/12/30,2.5524,3.8951,7.6486,24.0764,1.4493,6439,15.4684,7.984,17.6972,12.4875,#N/A N/A,20.2316,136271.084,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/02,2.5524,3.8951,7.6486,16.2791,1.4493,6439,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,136271.084,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/03,2.5901,3.8383,7.5372,16.2791,1.4707,6290,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,138285.9029,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/04,2.636,3.7716,7.4061,16.2791,1.4968,6383,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,140734.0162,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/05,2.5861,3.8443,7.549,16.2791,1.4684,6496,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,138069.2557,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/06,2.6177,3.7979,7.4578,16.2791,1.4864,6373,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,139759.1038,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/09,2.6238,3.7891,7.4405,16.2791,1.4898,6451,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,140084.0746,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/10,2.666,3.7291,7.3227,16.2791,1.5138,6466,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,142337.2054,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/11,2.6778,3.7127,7.2905,16.2791,1.5205,6570,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,142965.4823,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/12,2.6681,3.7262,7.3171,16.2791,1.515,6599,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,142445.529,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/13,2.6376,3.7692,7.4015,16.2791,1.4977,6575,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,140820.675,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/16,2.6218,3.792,7.4462,16.2791,1.4887,6500,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,139975.751,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/17,2.6376,3.7692,7.4015,16.2791,1.4977,6461,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,140820.675,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/18,2.6713,3.7217,7.3082,16.2791,1.5168,6500,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,142618.8467,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/19,2.6376,3.7692,7.4015,16.2791,1.4977,6583,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,140820.675,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/20,2.6133,3.8043,7.4705,16.2791,1.4838,6500,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,139520.7919,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/23,2.6461,3.7571,7.3777,16.2791,1.5025,6440,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,141275.6342,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/24,2.6681,3.7262,7.3171,16.2791,1.515,6521,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,142445.529,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/25,2.6794,3.7104,7.2861,16.2791,1.5214,6575,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,143052.1411,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/26,2.7504,3.6146,7.098,16.2791,1.5617,6603,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,146843.467,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/27,2.6843,3.7037,7.2729,16.2791,1.5242,6778,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,143312.1178,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/30,2.6315,3.7779,7.4187,16.2791,1.4942,6615,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,140495.7043,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/01/31,2.6372,3.7698,7.4027,16.2791,1.4974,6485,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,140799.0103,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/02/01,2.591,3.8371,7.5348,16.2791,1.4712,6499,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,138329.2323,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/02/02,2.5402,3.9137,7.6853,16.2791,1.4424,6385,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,135621.1424,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2017/02/03,2.5455,3.9056,7.6694,16.2791,1.4454,6260,-4.2529,-14.7349,-12.4847,15.8318,#N/A N/A,19.5334,135902.7838,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
