Dates,PX_TO_BOOK_RATIO,EQY_DVD_YLD_12M,EARN_YLD,CASH_FLOW_YIELD,PX_TO_SALES_RATIO,PX_CLOSE_1D,BASIC_EPS_3YR_AVG_GROWTH,SALES_3YR_AVG_GROWTH,EPS_GROWTH,OPER_INC_TO_NET_SALES,EBIT_TO_NET_SALES,5_YEAR_AVERAGE_ADJUSTED_ROE,CUR_MKT_CAP,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE
2014/05/14,1.4086,3.8459,7.2206,34.4398,0.5106,3627,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,177024.6079,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/15,1.3402,3.9963,7.5891,34.4398,0.4858,3614,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,170362.9182,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/16,1.3481,3.9883,7.5447,34.4398,0.4887,3478,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,170705.7992,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/19,1.3561,3.9678,7.5004,34.4398,0.4915,3485,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,171587.4935,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/20,1.3428,3.961,7.5748,34.4398,0.4867,3503,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,171881.3915,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/21,1.3468,3.9565,7.5519,34.4398,0.4882,3509,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,172077.3236,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/22,1.3525,3.9757,7.5202,34.4398,0.4903,3513,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,171244.6124,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/23,1.3661,3.9497,7.4454,34.4398,0.4952,3496,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,172371.2217,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/26,1.3735,3.9064,7.4054,34.4398,0.4978,3519,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,174281.5592,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/27,1.3628,3.9119,7.4633,34.4398,0.494,3558,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,174036.6441,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/28,1.3758,3.89,7.3927,34.4398,0.4987,3553,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,175016.3044,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/29,1.3734,3.9175,7.4057,34.4398,0.4978,3573,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,173791.729,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/05/30,1.3673,3.8619,7.4388,34.4398,0.4956,3548,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176289.8627,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/02,1.3517,3.8781,7.525,34.4398,0.4899,3599,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,175555.1175,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/03,1.3382,3.8879,7.6007,34.4398,0.4851,3584,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,175114.2704,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/04,1.3451,3.8662,7.5618,34.4398,0.4875,3575,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176093.9306,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/05,1.3617,3.8247,7.4696,34.4398,0.4936,3595,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,178004.2681,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/06,1.3792,3.8195,7.3748,34.4398,0.4999,3634,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,178249.1832,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/09,1.3684,3.8269,7.433,34.4398,0.496,3639,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,177906.3021,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/10,1.3557,3.847,7.5027,34.4398,0.4914,3632,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176975.6249,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/11,1.3483,3.8502,7.5435,34.4398,0.4887,3613,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176828.6758,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/12,1.3487,3.863,7.5417,34.4398,0.4888,3610,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176240.8797,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/13,1.3378,3.8641,7.6028,34.4398,0.4849,3598,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176191.8967,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/16,1.3378,3.8641,7.6028,34.4398,0.4849,3598,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,176191.8967,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2014/06/17,1.3149,3.8716,7.7356,34.4398,0.4766,3597,49.6251,84.21,8.7824,8.2472,#N/A N/A,7.1963,175849.0156,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
